0.4900280023800000E+13  0.1738000000000000E+07  http://pds-geosciences.wustl.edu/Lunar/lp-l-rss-5-glgm3_gravity-v1/lp_1201/data/shadr/
   17    17 -0.3223239553944600E-07  0.1391284754770100E-05
   18     0 -0.1365815596931700E-06  0.0000000000000000E+00
   18     1  0.1054181612696700E-06  0.3288602974979600E-07
   18     2 -0.7371056525622100E-06 -0.9507439225816900E-06
   18     3  0.1188181784981900E-05  0.1518785151609900E-06
   18     4 -0.6853123803594300E-06  0.1513984475787600E-05
   18     5 -0.1013086185344100E-05  0.7324028020419400E-06
   18     6 -0.1451530366120800E-05  0.6400294973951300E-06
   18     7  0.5708055782915700E-06 -0.1228429407640500E-05
   18     8 -0.5567834563799800E-07  0.3376327801912100E-07
   18     9  0.5202904552317899E-06 -0.1529025026735800E-05
   18    10  0.8849875533025200E-06 -0.7742597430526400E-06
   18    11 -0.2879275644176700E-06 -0.1792261302119300E-05
   18    12  0.7474648779003600E-06  0.7750223385073800E-06
   18    13 -0.1455973822462700E-05 -0.2767499490557800E-06
   18    14 -0.8437474535968300E-06 -0.1635994032151400E-05
